,id,date
0,4619,20200422
1,4619,20200423
2,4618,20200421
3,4618,20200422
4,4617,20200420
5,4617,20200421
6,4616,20200417
7,4616,20200418
8,4659,20200617
9,4659,20200618
10,4658,20200616
11,4658,20200617
12,4657,20200615
13,4657,20200616
14,4656,20200612
15,4656,20200613
16,4655,20200611
17,4655,20200612
18,4654,20200610
19,4654,20200611
20,4653,20200609
21,4653,20200610
22,4652,20200608
23,4652,20200609
24,4651,20200605
25,4651,20200606
26,4650,20200604
27,4650,20200605
28,4649,20200603
29,4649,20200604
30,4648,20200602
31,4648,20200603
32,4647,20200601
33,4647,20200602
34,4646,20200529
35,4646,20200530
36,4645,20200528
37,4645,20200529
38,4644,20200527
39,4644,20200528
40,4643,20200526
41,4643,20200527
42,4642,20200525
43,4642,20200526
44,4641,20200522
45,4641,20200523
46,4640,20200521
47,4640,20200522
48,4639,20200520
49,4639,20200521
50,4638,20200519
51,4638,20200520
52,4637,20200518
53,4637,20200519
54,4636,20200515
55,4636,20200516
56,4635,20200514
57,4635,20200515
58,4634,20200513
59,4634,20200514
60,4633,20200512
61,4633,20200513
62,4632,20200511
63,4632,20200512
64,4631,20200508
65,4631,20200509
66,4630,20200507
67,4630,20200508
68,4664,20200624
69,4664,20200625
70,4663,20200623
71,4663,20200624
72,4662,20200622
73,4662,20200623
74,4661,20200619
75,4661,20200620
76,4660,20200618
77,4660,20200619
78,4629,20200506
79,4629,20200507
80,4628,20200505
81,4628,20200506
82,4627,20200504
83,4627,20200505
84,4626,20200501
85,4626,20200502
86,4625,20200430
87,4625,20200501
88,4624,20200429
89,4624,20200430
90,4623,20200428
91,4623,20200429
92,4622,20200427
93,4622,20200428
94,4621,20200424
95,4621,20200425
96,4620,20200423
97,4620,20200424
98,4615,20200416
99,4615,20200417
100,4614,20200415
101,4614,20200416
102,4613,20200414
103,4613,20200415
104,4612,20200413
105,4612,20200414
106,4611,20200410
107,4611,20200411
108,4610,20200409
109,4610,20200410
110,4609,20200408
111,4609,20200409
112,4608,20200407
113,4608,20200408
114,4607,20200406
115,4607,20200407
116,4606,20200403
117,4606,20200404
118,4605,20200402
119,4605,20200403
120,4604,20200401
121,4604,20200402
122,4603,20200331
123,4603,20200401
124,4602,20200330
125,4602,20200331
126,4601,20200327
127,4601,20200328
128,4600,20200326
129,4600,20200327
130,4599,20200325
131,4599,20200326
132,4598,20200324
133,4598,20200325
134,4597,20200323
135,4597,20200324
136,4596,20200320
137,4596,20200321
138,4595,20200319
139,4595,20200320
140,4594,20200318
141,4594,20200319
142,4593,20200317
143,4593,20200318
144,4592,20200316
145,4592,20200317
146,4591,20200313
147,4591,20200314
148,4590,20200312
149,4590,20200313
150,4589,20200311
151,4589,20200312
152,4588,20200310
153,4588,20200311
154,4587,20200309
155,4587,20200310
156,4586,20200306
157,4586,20200307
158,4585,20200305
159,4585,20200306
160,4584,20200304
161,4584,20200305
162,4583,20200303
163,4583,20200304
164,4582,20200302
165,4582,20200303
166,4581,20200228
167,4581,20200229
168,4580,20200227
169,4580,20200228
170,4579,20200226
171,4579,20200227
172,4578,20200225
173,4578,20200226
174,4577,20200224
175,4577,20200225
176,4576,20200221
177,4576,20200222
178,4575,20200220
179,4575,20200221
180,4574,20200219
181,4574,20200220
182,4573,20200218
183,4573,20200219
184,4572,20200217
185,4572,20200218
186,4571,20200214
187,4571,20200215
188,4570,20200213
189,4570,20200214
190,4569,20200212
191,4569,20200213
192,4568,20200211
193,4568,20200212
194,4567,20200210
195,4567,20200211
196,4566,20200207
197,4566,20200208
198,4565,20200206
199,4565,20200207
200,4564,20200205
201,4564,20200206
202,4563,20200204
203,4563,20200205
204,4562,20200203
205,4562,20200204
206,4561,20200201
207,4560,20200131
208,4560,20200201
209,4559,20200130
210,4559,20200131
211,4558,20200129
212,4558,20200130
213,4557,20200128
214,4557,20200129
215,4556,20200127
216,4556,20200128
217,4555,20200124
218,4555,20200125
219,4554,20200123
220,4554,20200124
221,4553,20200122
222,4553,20200123
223,4552,20200121
224,4552,20200122
225,4551,20200120
226,4551,20200121
227,4550,20200117
228,4550,20200118
229,4549,20200116
230,4549,20200117
231,4548,20200115
232,4548,20200116
233,4547,20200114
234,4547,20200115
235,4546,20200113
236,4546,20200114
237,4545,20200110
238,4545,20200111
239,4544,20200109
240,4544,20200110
241,4543,20200108
242,4543,20200109
243,4542,20200107
244,4542,20200108
245,4541,20200106
246,4541,20200107
247,4540,20200103
248,4540,20200104
249,4539,20200102
250,4539,20200103
251,4538,20200101
252,4537,20191231
253,4537,20200101
254,4536,20191230
255,4536,20191231
256,4535,20191227
257,4535,20191228
258,4534,20191226
259,4534,20191227
260,4533,20191225
261,4533,20191226
262,4532,20191224
263,4532,20191225
264,4531,20191223
265,4531,20191224
266,4530,20191220
267,4530,20191221
268,4529,20191219
269,4529,20191220
270,4528,20191218
271,4528,20191219
272,4527,20191217
273,4527,20191218
274,4526,20191216
275,4526,20191217
276,4525,20191213
277,4525,20191214
278,4524,20191212
279,4524,20191213
280,4523,20191211
281,4523,20191212
282,4522,20191210
283,4522,20191211
284,4521,20191209
285,4521,20191210
286,4520,20191206
287,4520,20191207
288,4519,20191205
289,4519,20191206
290,4518,20191204
291,4518,20191205
292,4517,20191203
293,4517,20191204
294,4516,20191202
295,4516,20191203
296,4515,20191129
297,4515,20191130
298,4514,20191128
299,4514,20191129
300,4513,20191127
301,4513,20191128
302,4512,20191126
303,4512,20191127
304,4511,20191125
305,4511,20191126
306,4510,20191122
307,4510,20191123
308,4509,20191121
309,4509,20191122
310,4508,20191120
311,4508,20191121
312,4507,20191119
313,4507,20191120
314,4506,20191118
315,4506,20191119
316,4505,20191115
317,4505,20191116
318,4504,20191114
319,4504,20191115
320,4503,20191113
321,4503,20191114
322,4502,20191112
323,4502,20191113
324,4501,20191111
325,4501,20191112
326,4500,20191108
327,4500,20191109
328,4499,20191107
329,4499,20191108
330,4498,20191106
331,4498,20191107
332,4497,20191105
333,4497,20191106
334,4496,20191104
335,4496,20191105
336,4495,20191101
337,4495,20191102
338,4494,20191031
339,4494,20191101
340,4493,20191030
341,4493,20191031
342,4492,20191029
343,4492,20191030
344,4491,20191028
345,4491,20191029
346,4490,20191025
347,4490,20191026
348,4489,20191024
349,4489,20191025
350,4488,20191023
351,4488,20191024
352,4487,20191022
353,4487,20191023
354,4486,20191021
355,4486,20191022
356,4485,20191018
357,4485,20191019
358,4484,20191017
359,4484,20191018
360,4483,20191016
361,4483,20191017
362,4482,20191015
363,4482,20191016
364,4481,20191014
365,4481,20191015
366,4480,20191011
367,4480,20191012
368,4479,20191010
369,4479,20191011
370,4478,20191009
371,4478,20191010
372,4477,20191008
373,4477,20191009
374,4476,20191007
375,4476,20191008
376,4475,20191004
377,4475,20191005
378,4474,20191003
379,4474,20191004
380,4473,20191002
381,4473,20191003
382,4472,20191001
383,4472,20191002
384,4471,20190930
385,4471,20191001
386,4470,20190927
387,4470,20190928
388,4469,20190926
389,4469,20190927
390,4468,20190925
391,4468,20190926
392,4467,20190924
393,4467,20190925
394,4466,20190923
395,4466,20190924
396,4465,20190920
397,4465,20190921
398,4464,20190919
399,4464,20190920
400,4463,20190918
401,4463,20190919
402,4462,20190917
403,4462,20190918
404,4461,20190916
405,4461,20190917
406,4460,20190913
407,4460,20190914
408,4459,20190912
409,4459,20190913
410,4458,20190911
411,4458,20190912
412,4457,20190910
413,4457,20190911
414,4456,20190909
415,4456,20190910
416,4455,20190906
417,4455,20190907
418,4454,20190905
419,4454,20190906
420,4453,20190904
421,4453,20190905
422,4452,20190903
423,4452,20190904
424,4451,20190902
425,4451,20190903
426,4450,20190830
427,4450,20190831
428,4449,20190829
429,4449,20190830
430,4448,20190828
431,4448,20190829
432,4447,20190827
433,4447,20190828
434,4446,20190826
435,4446,20190827
436,4445,20190823
437,4445,20190824
438,4444,20190822
439,4444,20190823
440,4443,20190821
441,4443,20190822
442,4442,20190820
443,4442,20190821
444,4441,20190819
445,4441,20190820
446,4440,20190816
447,4440,20190817
448,4439,20190815
449,4439,20190816
450,4438,20190814
451,4438,20190815
452,4437,20190813
453,4437,20190814
454,4436,20190812
455,4436,20190813
456,4435,20190809
457,4435,20190810
458,4434,20190808
459,4434,20190809
460,4433,20190807
461,4433,20190808
462,4432,20190806
463,4432,20190807
464,4431,20190805
465,4431,20190806
466,4430,20190802
467,4430,20190803
468,4429,20190801
469,4429,20190802
470,4428,20190731
471,4428,20190801
472,4427,20190730
473,4427,20190731
474,4426,20190729
475,4426,20190730
476,4425,20190726
477,4425,20190727
478,4424,20190725
479,4424,20190726
480,4423,20190724
481,4423,20190725
482,4422,20190723
483,4422,20190724
484,4421,20190722
485,4421,20190723
486,4420,20190719
487,4420,20190720
488,4419,20190718
489,4419,20190719
490,4418,20190717
491,4418,20190718
492,4417,20190716
493,4417,20190717
494,4416,20190715
495,4416,20190716
496,4415,20190712
497,4415,20190713
498,4414,20190711
499,4414,20190712
500,4413,20190710
501,4413,20190711
502,4412,20190709
503,4412,20190710
504,4411,20190708
505,4411,20190709
506,4410,20190705
507,4410,20190706
508,4409,20190704
509,4409,20190705
510,4408,20190703
511,4408,20190704
512,4407,20190702
513,4407,20190703
514,4406,20190701
515,4406,20190702
516,4405,20190628
517,4405,20190629
518,4404,20190627
519,4404,20190628
520,4403,20190626
521,4403,20190627
522,4402,20190625
523,4402,20190626
524,4401,20190624
525,4401,20190625
526,4400,20190621
527,4400,20190622
528,4399,20190620
529,4399,20190621
530,4398,20190619
531,4398,20190620
532,4397,20190618
533,4397,20190619
534,4396,20190617
535,4396,20190618
536,4395,20190614
537,4395,20190615
538,4394,20190613
539,4394,20190614
540,4393,20190612
541,4393,20190613
542,4392,20190611
543,4392,20190612
544,4391,20190610
545,4391,20190611
546,4390,20190607
547,4390,20190608
548,4389,20190606
549,4389,20190607
550,4388,20190605
551,4388,20190606
552,4387,20190604
553,4387,20190605
554,4386,20190603
555,4386,20190604
556,4385,20190531
557,4385,20190601
558,4384,20190530
559,4384,20190531
560,4383,20190529
561,4383,20190530
562,4382,20190528
563,4382,20190529
564,4381,20190527
565,4381,20190528
566,4380,20190524
567,4380,20190525
568,4379,20190523
569,4379,20190524
570,4378,20190522
571,4378,20190523
572,4377,20190521
573,4377,20190522
574,4376,20190520
575,4376,20190521
576,4375,20190517
577,4375,20190518
578,4374,20190516
579,4374,20190517
580,4373,20190515
581,4373,20190516
582,4372,20190514
583,4372,20190515
584,4371,20190513
585,4371,20190514
586,4370,20190510
587,4370,20190511
588,4369,20190509
589,4369,20190510
590,4368,20190508
591,4368,20190509
592,4367,20190507
593,4367,20190508
594,4366,20190506
595,4366,20190507
596,4365,20190503
597,4365,20190504
598,4364,20190502
599,4364,20190503
600,4363,20190501
601,4363,20190502
602,4362,20190430
603,4362,20190501
604,4361,20190429
605,4361,20190430
606,4360,20190426
607,4360,20190427
608,4359,20190425
609,4359,20190426
610,4358,20190424
611,4358,20190425
612,4357,20190423
613,4357,20190424
614,4356,20190422
615,4356,20190423
616,4355,20190419
617,4355,20190420
618,4354,20190418
619,4354,20190419
620,4353,20190417
621,4353,20190418
622,4352,20190416
623,4352,20190417
624,4351,20190415
625,4351,20190416
626,4350,20190412
627,4350,20190413
628,4349,20190411
629,4349,20190412
630,4348,20190410
631,4348,20190411
632,4347,20190409
633,4347,20190410
634,4346,20190408
635,4346,20190409
636,4345,20190405
637,4345,20190406
638,4344,20190404
639,4344,20190405
640,4343,20190403
641,4343,20190404
642,4342,20190402
643,4342,20190403
644,4341,20190401
645,4341,20190402
646,4340,20190329
647,4340,20190330
648,4339,20190328
649,4339,20190329
650,4338,20190327
651,4338,20190328
652,4337,20190326
653,4337,20190327
654,4336,20190325
655,4336,20190326
656,4335,20190322
657,4335,20190323
658,4334,20190321
659,4334,20190322
660,4333,20190320
661,4333,20190321
662,4332,20190319
663,4332,20190320
664,4331,20190318
665,4331,20190319
666,4330,20190315
667,4330,20190316
668,4329,20190314
669,4329,20190315
670,4328,20190313
671,4328,20190314
672,4327,20190312
673,4327,20190313
674,4326,20190311
675,4326,20190312
676,4325,20190308
677,4325,20190309
678,4324,20190307
679,4324,20190308
680,4323,20190306
681,4323,20190307
682,4322,20190305
683,4322,20190306
684,4321,20190304
685,4321,20190305
686,4320,20190301
687,4320,20190302
688,4319,20190228
689,4319,20190301
690,4318,20190227
691,4318,20190228
692,4317,20190226
693,4317,20190227
694,4316,20190225
695,4316,20190226
696,4315,20190222
697,4315,20190223
698,4314,20190221
699,4314,20190222
700,4313,20190220
701,4313,20190221
702,4312,20190219
703,4312,20190220
704,4311,20190218
705,4311,20190219
706,4310,20190215
707,4310,20190216
708,4309,20190214
709,4309,20190215
710,4308,20190213
711,4308,20190214
712,4307,20190212
713,4307,20190213
714,4306,20190211
715,4306,20190212
716,4305,20190208
717,4305,20190209
718,4304,20190207
719,4304,20190208
720,4303,20190206
721,4303,20190207
722,4302,20190205
723,4302,20190206
724,4301,20190204
725,4301,20190205
726,4300,20190201
727,4300,20190202
